album,song
Amala,Go to Town
Amala,Cookie Jar
Amala,Roll With Us
Amala,Wine Pon You
Amala,Fancy
Amala,Wild Beach
Amala,Morning Light
Amala,Candy
Amala,Game
Amala,Casual
Amala,Down Low
Amala,Body Language
Amala,All Nighter
Amala,Juicy
Amala,Tia Tamera
Amala,Mooo
Hot Pink,Cyber Sex
Hot Pink,Won't Bite
Hot Pink,Rules
Hot Pink,Bottom Bitch
Hot Pink,Say So
Hot Pink,Like That
Hot Pink,Talk Dirty
Hot Pink,Addiction
Hot Pink,Streets
Hot Pink,Shine
Hot Pink,Better than Me
Hot Pink,Juicy Remix
Planet Her,Woman
Planet Her,Naked
Planet Her,Payday
Planet Her,Get Into It Yuh
Planet Her,Need to Know
Planet Her,I Don't Do Drugs
Planet Her,Love to Dream
Planet Her,You Right
Planet Her,Been Like This
Planet Her,Options
Planet Her,Ain't Shit
Planet Her,Imagine
Planet Her,Alone
Planet Her,Kiss Me More
Planet Her,You Right Extended
Planet Her,Up and Down
Planet Her,Tonight
Planet Her,Ride
Planet Her,Why Why
